step,norm_score
5000,41.194
10000,47.253
15000,48.514
20000,45.555
25000,44.082
30000,36.641
35000,47.56
40000,31.966
45000,36.265
50000,57.056
55000,42.71
60000,53.61
65000,51.359
70000,57.554
75000,53.645
80000,66.054
85000,80.257
90000,62.769
95000,57.958
100000,51.703
105000,65.56
110000,61.454
115000,50.934
120000,59.228
125000,62.93
130000,59.715
135000,61.955
140000,56.28
145000,54.837
150000,48.615
155000,52.629
160000,61.681
165000,43.928
170000,77.08
175000,45.555
180000,50.726
185000,49.341
190000,50.459
195000,55.022
200000,46.427
205000,58.263
210000,52.567
215000,56.609
220000,52.893
225000,46.305
230000,48.41
235000,51.169
240000,59.832
245000,63.902
250000,67.616
255000,60.316
260000,82.731
265000,53.503
270000,53.682
275000,71.644
280000,71.908
285000,73.462
290000,79.821
295000,54.195
300000,62.282
305000,62.077
310000,51.344
315000,70.025
320000,68.754
325000,55.763
330000,62.831
335000,70.241
340000,75.696
345000,76.964
350000,49.697
355000,71.008
360000,72.858
365000,61.572
370000,69.244
375000,52.05
380000,64.533
385000,57.725
390000,74.653
395000,59.633
400000,60.767
405000,67.294
410000,76.548
415000,61.882
420000,73.505
425000,55.488
430000,52.258
435000,58.99
440000,58.925
445000,65.116
450000,61.205
455000,70.355
460000,50.12
465000,54.789
470000,67.042
475000,74.282
480000,68.021
485000,62.15
490000,58.376
495000,63.986
500000,53.433
505000,63.359
510000,65.79
515000,61.86
520000,61.586
525000,57.412
530000,55.706
535000,60.833
540000,60.627
545000,70.697
550000,52.767
555000,56.542
560000,65.791
565000,65.803
570000,56.385
575000,66.504
580000,57.53
585000,60.595
590000,75.295
595000,55.015
600000,55.22
605000,59.847
610000,59.866
615000,60.598
620000,57.565
625000,55.684
630000,59.548
635000,54.911
640000,52.83
645000,63.48
650000,63.632
655000,59.897
660000,61.952
665000,60.561
670000,54.092
675000,51.007
680000,63.336
685000,69.06
690000,61.368
695000,58.266
700000,66.117
705000,54.609
710000,59.341
715000,59.817
720000,62.056
725000,61.888
730000,58.943
735000,60.035
740000,62.347
745000,57.523
750000,71.021
755000,61.48
760000,57.652
765000,63.218
770000,59.881
775000,59.757
780000,66.585
785000,57.589
790000,66.189
795000,70.674
800000,67.599
805000,65.285
810000,65.945
815000,55.161
820000,59.038
825000,68.071
830000,62.39
835000,59.596
840000,53.518
845000,64.036
850000,70.025
855000,59.001
860000,66.445
865000,59.878
870000,61.702
875000,66.412
880000,55.325
885000,52.027
890000,57.362
895000,60.653
900000,57.355
905000,56.566
910000,56.819
915000,62.593
920000,53.863
925000,58.692
930000,66.409
935000,59.521
940000,58.447
945000,58.575
950000,58.84
955000,69.364
960000,54.027
965000,58.362
970000,68.739
975000,53.157
980000,62.658
985000,61.307
990000,61.236
995000,60.291
1000000,63.52
