step,norm_score
5000,47.768
10000,42.272
15000,32.163
20000,38.78
25000,43.628
30000,17.828
35000,45.369
40000,42.194
45000,43.331
50000,33.41
55000,51.118
60000,35.026
65000,37.996
70000,41.552
75000,62.704
80000,52.421
85000,49.086
90000,45.114
95000,47.685
100000,67.855
105000,68.03
110000,56.229
115000,46.811
120000,54.339
125000,42.946
130000,42.117
135000,45.735
140000,54.303
145000,51.111
150000,44.11
155000,51.378
160000,62.076
165000,55.088
170000,46.553
175000,47.157
180000,56.216
185000,52.933
190000,49.649
195000,45.856
200000,47.241
205000,57.884
210000,57.061
215000,58.191
220000,49.122
225000,48.23
230000,58.643
235000,49.081
240000,49.265
245000,48.127
250000,50.452
255000,53.054
260000,50.13
265000,44.008
270000,44.977
275000,61.418
280000,47.369
285000,52.047
290000,80.89
295000,45.969
300000,47.862
305000,65.47
310000,45.052
315000,53.342
320000,51.206
325000,57.927
330000,47.845
335000,53.71
340000,50.137
345000,62.319
350000,52.176
355000,56.126
360000,52.156
365000,57.423
370000,48.375
375000,60.644
380000,52.944
385000,61.801
390000,54.255
395000,58.69
400000,60.258
405000,56.761
410000,56.467
415000,67.977
420000,52.866
425000,62.137
430000,50.4
435000,57.117
440000,50.247
445000,59.089
450000,64.027
455000,66.337
460000,72.503
465000,61.823
470000,63.231
475000,46.813
480000,57.047
485000,59.537
490000,63.468
495000,56.047
500000,72.623
505000,65.384
510000,53.352
515000,59.15
520000,51.427
525000,66.417
530000,63.331
535000,59.54
540000,73.332
545000,72.904
550000,70.681
555000,52.591
560000,64.674
565000,57.809
570000,54.358
575000,66.182
580000,55.274
585000,59.539
590000,53.849
595000,54.49
600000,50.575
605000,53.167
610000,58.693
615000,51.021
620000,68.137
625000,66.638
630000,64.268
635000,57.888
640000,56.133
645000,64.045
650000,52.966
655000,63.197
660000,67.4
665000,61.122
670000,57.44
675000,57.958
680000,66.066
685000,53.516
690000,59.822
695000,70.302
700000,65.0
705000,54.77
710000,61.792
715000,56.082
720000,55.36
725000,63.513
730000,65.818
735000,59.434
740000,59.477
745000,60.967
750000,59.855
755000,59.629
760000,51.997
765000,54.052
770000,50.449
775000,49.501
780000,63.32
785000,61.423
790000,69.486
795000,59.287
800000,58.583
805000,63.477
810000,61.77
815000,51.918
820000,54.814
825000,54.475
830000,55.728
835000,55.039
840000,54.038
845000,58.594
850000,56.327
855000,55.342
860000,59.454
865000,53.072
870000,53.075
875000,59.374
880000,52.448
885000,48.277
890000,51.603
895000,57.003
900000,59.79
905000,50.113
910000,60.352
915000,56.225
920000,50.676
925000,68.441
930000,49.07
935000,49.277
940000,60.802
945000,52.621
950000,60.412
955000,57.063
960000,55.409
965000,58.288
970000,52.191
975000,59.421
980000,60.075
985000,62.737
990000,54.236
995000,62.044
1000000,61.27
