step,norm_score
5000,18.77
10000,27.777
15000,24.798
20000,22.63
25000,39.84
30000,37.148
35000,40.02
40000,42.813
45000,41.942
50000,42.367
55000,47.078
60000,51.61
65000,6.615
70000,3.165
75000,21.346
80000,2.652
85000,3.028
90000,16.415
95000,46.106
100000,17.032
105000,3.067
110000,8.554
115000,7.876
120000,68.381
125000,3.227
130000,18.537
135000,3.187
140000,40.041
145000,13.11
150000,7.956
155000,3.284
160000,3.131
165000,3.206
170000,13.901
175000,38.215
180000,3.175
185000,49.398
190000,60.215
195000,24.135
200000,3.346
205000,50.829
210000,57.42
215000,39.276
220000,63.25
225000,53.689
230000,67.717
235000,53.839
240000,56.597
245000,66.384
250000,58.46
255000,55.152
260000,57.897
265000,58.918
270000,57.032
275000,69.933
280000,62.113
285000,59.564
290000,46.939
295000,60.95
300000,52.315
305000,56.213
310000,58.742
315000,62.022
320000,59.001
325000,62.796
330000,65.188
335000,67.106
340000,53.046
345000,66.917
350000,55.279
355000,56.328
360000,54.018
365000,64.506
370000,57.674
375000,59.89
380000,68.745
385000,64.419
390000,66.483
395000,56.512
400000,66.136
405000,50.034
410000,55.807
415000,64.939
420000,58.231
425000,45.838
430000,63.038
435000,55.571
440000,60.541
445000,55.155
450000,53.868
455000,65.441
460000,60.262
465000,64.642
470000,59.727
475000,61.773
480000,45.914
485000,55.69
490000,53.02
495000,74.468
500000,66.963
505000,68.885
510000,65.983
515000,57.07
520000,58.522
525000,64.249
530000,55.632
535000,53.927
540000,59.495
545000,57.002
550000,55.695
555000,53.148
560000,57.396
565000,54.474
570000,67.011
575000,56.363
580000,57.289
585000,55.925
590000,75.047
595000,59.835
600000,56.993
605000,55.254
610000,54.008
615000,56.346
620000,62.832
625000,54.209
630000,54.983
635000,59.813
640000,52.526
645000,55.789
650000,68.365
655000,53.369
660000,55.312
665000,55.502
670000,60.902
675000,53.406
680000,68.466
685000,54.76
690000,57.193
695000,58.891
700000,46.431
705000,60.525
710000,55.338
715000,58.145
720000,67.81
725000,55.928
730000,48.6
735000,50.486
740000,57.016
745000,57.727
750000,55.041
755000,65.397
760000,55.846
765000,61.31
770000,59.162
775000,62.787
780000,62.465
785000,56.917
790000,62.319
795000,63.421
800000,63.349
805000,62.0
810000,56.228
815000,60.414
820000,47.546
825000,59.708
830000,52.327
835000,61.498
840000,55.968
845000,58.193
850000,59.218
855000,58.421
860000,66.437
865000,51.534
870000,56.905
875000,57.297
880000,46.162
885000,56.123
890000,53.944
895000,54.935
900000,54.384
905000,56.085
910000,60.295
915000,64.696
920000,54.962
925000,59.931
930000,63.779
935000,61.725
940000,56.423
945000,55.84
950000,54.289
955000,57.798
960000,55.984
965000,54.044
970000,52.584
975000,53.061
980000,65.511
985000,58.884
990000,54.315
995000,54.807
1000000,59.792
