step,norm_score
5000,2.829
10000,62.297
15000,59.344
20000,67.138
25000,13.886
30000,56.125
35000,56.783
40000,51.795
45000,61.866
50000,49.319
55000,65.553
60000,64.342
65000,71.04
70000,56.275
75000,65.91
80000,53.661
85000,57.522
90000,55.031
95000,52.708
100000,51.934
105000,61.952
110000,59.181
115000,61.579
120000,60.601
125000,67.911
130000,57.2
135000,50.672
140000,63.174
145000,56.79
150000,52.954
155000,62.723
160000,61.197
165000,48.907
170000,62.897
175000,58.112
180000,61.219
185000,57.795
190000,58.371
195000,60.172
200000,59.051
205000,53.88
210000,61.762
215000,67.295
220000,54.026
225000,53.611
230000,58.882
235000,57.533
240000,61.221
245000,64.205
250000,57.577
255000,44.024
260000,60.746
265000,59.686
270000,54.42
275000,55.049
280000,52.593
285000,54.713
290000,53.54
295000,57.656
300000,61.804
305000,57.654
310000,53.227
315000,56.942
320000,52.683
325000,51.101
330000,57.322
335000,58.677
340000,55.406
345000,58.677
350000,54.761
355000,58.287
360000,59.778
365000,55.699
370000,66.611
375000,53.327
380000,60.847
385000,62.04
390000,54.254
395000,64.607
400000,55.426
405000,56.965
410000,57.25
415000,53.592
420000,52.339
425000,63.528
430000,71.177
435000,54.616
440000,57.835
445000,57.475
450000,57.61
455000,59.15
460000,52.3
465000,58.868
470000,62.167
475000,58.44
480000,61.893
485000,61.303
490000,56.101
495000,52.371
500000,55.356
505000,61.676
510000,56.572
515000,59.706
520000,53.387
525000,58.416
530000,57.388
535000,56.443
540000,54.95
545000,60.285
550000,62.439
555000,50.131
560000,57.683
565000,46.353
570000,54.022
575000,59.994
580000,53.947
585000,54.633
590000,57.067
595000,54.215
600000,56.949
605000,58.869
610000,54.189
615000,61.643
620000,58.138
625000,55.65
630000,57.636
635000,53.395
640000,52.739
645000,59.826
650000,56.789
655000,69.46
660000,53.808
665000,53.689
670000,62.291
675000,56.86
680000,58.867
685000,57.667
690000,55.481
695000,54.043
700000,58.592
705000,61.194
710000,53.996
715000,61.53
720000,58.574
725000,58.991
730000,55.649
735000,62.688
740000,61.775
745000,51.709
750000,56.344
755000,52.327
760000,56.203
765000,60.522
770000,56.864
775000,64.265
780000,56.701
785000,63.192
790000,51.602
795000,53.672
800000,57.577
805000,58.433
810000,56.353
815000,56.776
820000,66.366
825000,57.774
830000,57.595
835000,64.111
840000,57.859
845000,52.972
850000,56.733
855000,53.592
860000,57.238
865000,52.55
870000,60.594
875000,63.012
880000,60.497
885000,53.274
890000,56.987
895000,59.884
900000,62.234
905000,59.553
910000,62.18
915000,57.472
920000,54.492
925000,61.626
930000,51.946
935000,57.71
940000,58.639
945000,57.804
950000,51.959
955000,66.572
960000,55.252
965000,60.001
970000,55.906
975000,54.147
980000,61.512
985000,57.743
990000,54.761
995000,56.785
1000000,53.856
