step,norm_score
5000,46.59
10000,47.93
15000,41.31
20000,42.50
25000,47.38
30000,45.08
35000,42.56
40000,50.14
45000,52.94
50000,43.86
55000,51.61
60000,46.05
65000,52.35
70000,52.87
75000,47.92
80000,54.28
85000,48.13
90000,61.27
95000,52.61
100000,54.72
105000,59.08
110000,58.28
115000,45.59
120000,51.44
125000,45.01
130000,50.17
135000,45.14
140000,57.40
145000,42.91
150000,52.87
155000,52.99
160000,57.04
165000,61.20
170000,55.06
175000,62.57
180000,57.99
185000,51.65
190000,58.28
195000,57.03
200000,60.80
205000,57.56
210000,50.26
215000,52.53
220000,49.30
225000,51.73
230000,44.22
235000,46.98
240000,57.06
245000,57.25
250000,56.41
255000,50.74
260000,58.50
265000,61.29
270000,46.57
275000,61.24
280000,63.86
285000,61.32
290000,61.75
295000,60.46
300000,62.55
305000,55.84
310000,57.35
315000,56.70
320000,58.38
325000,48.02
330000,55.78
335000,58.92
340000,53.59
345000,52.94
350000,61.91
355000,52.08
360000,58.49
365000,53.17
370000,58.47
375000,55.15
380000,52.28
385000,52.76
390000,55.63
395000,55.44
400000,57.53
405000,51.00
410000,51.14
415000,62.67
420000,48.91
425000,51.25
430000,56.29
435000,59.96
440000,55.00
445000,56.80
450000,58.36
455000,58.21
460000,58.41
465000,60.03
470000,65.20
475000,56.19
480000,50.79
485000,61.49
490000,59.02
495000,64.15
500000,48.01
505000,62.48
510000,60.69
515000,57.98
520000,60.23
525000,56.01
530000,58.34
535000,55.22
540000,49.42
545000,47.16
550000,55.21
555000,56.70
560000,62.10
565000,54.79
570000,57.36
575000,57.90
580000,59.30
585000,63.99
590000,53.72
595000,58.92
600000,56.23
605000,47.11
610000,59.34
615000,62.32
620000,53.26
625000,47.57
630000,61.18
635000,64.89
640000,57.32
645000,51.88
650000,53.44
655000,55.25
660000,61.05
665000,59.32
670000,61.59
675000,57.96
680000,51.01
685000,56.10
690000,66.95
695000,54.20
700000,61.68
705000,57.23
710000,54.85
715000,60.90
720000,54.72
725000,59.36
730000,63.69
735000,60.98
740000,58.81
745000,58.15
750000,53.53
755000,60.62
760000,57.24
765000,67.69
770000,44.87
775000,58.30
780000,53.63
785000,55.82
790000,55.55
795000,68.53
800000,49.78
805000,56.06
810000,59.63
815000,55.51
820000,57.01
825000,54.76
830000,58.68
835000,50.39
840000,59.34
845000,60.99
850000,50.74
855000,64.50
860000,68.82
865000,55.82
870000,66.51
875000,57.12
880000,54.52
885000,50.36
890000,67.25
895000,60.07
900000,50.22
905000,52.05
910000,48.60
915000,51.40
920000,54.49
925000,55.01
930000,64.98
935000,50.60
940000,62.41
945000,54.76
950000,59.84
955000,54.94
960000,59.56
965000,55.72
970000,51.43
975000,48.38
980000,53.30
985000,53.40
990000,61.44
995000,60.16
1000000,55.77
