step,norm_score
5000,50.45
10000,49.40
15000,38.10
20000,49.31
25000,43.49
30000,44.97
35000,54.63
40000,51.91
45000,48.76
50000,43.47
55000,56.79
60000,43.79
65000,58.07
70000,51.58
75000,46.70
80000,51.25
85000,40.11
90000,53.02
95000,59.91
100000,52.61
105000,55.74
110000,59.65
115000,49.16
120000,48.26
125000,59.97
130000,47.71
135000,56.48
140000,45.43
145000,49.24
150000,48.58
155000,53.32
160000,55.74
165000,62.05
170000,52.48
175000,51.62
180000,54.96
185000,46.94
190000,47.81
195000,56.23
200000,49.14
205000,48.09
210000,52.28
215000,48.65
220000,49.09
225000,48.81
230000,53.43
235000,53.46
240000,43.31
245000,59.04
250000,59.14
255000,54.52
260000,60.34
265000,57.64
270000,53.93
275000,49.53
280000,52.61
285000,54.90
290000,58.81
295000,51.76
300000,49.32
305000,42.00
310000,48.77
315000,51.16
320000,45.14
325000,44.45
330000,58.28
335000,55.68
340000,55.30
345000,50.29
350000,55.91
355000,50.59
360000,51.26
365000,51.17
370000,57.29
375000,55.77
380000,62.08
385000,50.25
390000,48.42
395000,53.81
400000,44.54
405000,55.61
410000,59.11
415000,59.87
420000,57.35
425000,59.45
430000,52.63
435000,47.48
440000,55.08
445000,56.05
450000,57.24
455000,59.86
460000,57.62
465000,55.67
470000,57.93
475000,57.99
480000,50.51
485000,58.25
490000,53.09
495000,55.63
500000,55.57
505000,55.73
510000,52.99
515000,49.07
520000,54.39
525000,67.68
530000,62.76
535000,64.22
540000,57.08
545000,61.40
550000,49.45
555000,65.23
560000,56.70
565000,55.40
570000,53.28
575000,57.59
580000,60.26
585000,58.36
590000,58.72
595000,56.63
600000,58.08
605000,51.63
610000,60.54
615000,60.98
620000,59.70
625000,49.08
630000,53.96
635000,56.28
640000,55.24
645000,52.30
650000,54.21
655000,53.48
660000,56.13
665000,60.80
670000,58.07
675000,64.53
680000,54.03
685000,59.04
690000,59.77
695000,61.47
700000,59.58
705000,58.50
710000,63.46
715000,47.79
720000,51.13
725000,49.60
730000,56.32
735000,57.58
740000,58.27
745000,50.54
750000,62.70
755000,59.17
760000,61.24
765000,63.33
770000,49.72
775000,58.00
780000,69.39
785000,55.77
790000,49.30
795000,59.10
800000,61.10
805000,62.67
810000,57.24
815000,58.35
820000,63.05
825000,60.53
830000,55.26
835000,58.50
840000,57.80
845000,59.53
850000,54.12
855000,58.33
860000,56.85
865000,52.86
870000,55.46
875000,59.00
880000,53.02
885000,58.52
890000,53.19
895000,54.30
900000,61.23
905000,57.54
910000,60.21
915000,62.27
920000,52.23
925000,52.37
930000,51.44
935000,64.34
940000,59.16
945000,61.05
950000,60.22
955000,61.49
960000,53.87
965000,64.79
970000,61.13
975000,57.47
980000,60.20
985000,64.63
990000,62.46
995000,66.40
1000000,58.16
