step,norm_score
5000,55.78
10000,42.13
15000,42.17
20000,38.30
25000,43.08
30000,41.13
35000,48.18
40000,42.58
45000,43.85
50000,43.79
55000,47.53
60000,62.72
65000,49.59
70000,47.64
75000,47.87
80000,55.76
85000,55.89
90000,71.51
95000,46.60
100000,43.97
105000,46.96
110000,55.83
115000,55.25
120000,48.26
125000,48.38
130000,55.36
135000,58.49
140000,42.74
145000,58.77
150000,50.09
155000,59.18
160000,60.15
165000,44.84
170000,42.79
175000,55.48
180000,45.72
185000,52.40
190000,48.59
195000,42.69
200000,49.80
205000,44.32
210000,50.34
215000,48.03
220000,56.97
225000,43.53
230000,50.75
235000,45.09
240000,52.92
245000,49.06
250000,54.82
255000,61.30
260000,54.01
265000,57.20
270000,47.71
275000,53.47
280000,58.42
285000,60.30
290000,67.78
295000,57.61
300000,62.00
305000,57.03
310000,69.91
315000,41.41
320000,53.63
325000,56.00
330000,52.61
335000,51.70
340000,54.83
345000,52.65
350000,53.04
355000,53.45
360000,54.57
365000,59.23
370000,55.31
375000,54.80
380000,56.36
385000,56.03
390000,62.77
395000,56.01
400000,65.08
405000,55.66
410000,65.12
415000,63.27
420000,54.64
425000,55.90
430000,54.83
435000,58.15
440000,61.87
445000,69.35
450000,65.97
455000,50.37
460000,59.44
465000,60.43
470000,64.00
475000,57.91
480000,51.16
485000,53.71
490000,54.13
495000,55.08
500000,58.56
505000,50.24
510000,53.39
515000,57.15
520000,58.28
525000,58.95
530000,51.99
535000,56.99
540000,54.70
545000,60.16
550000,57.25
555000,56.50
560000,56.74
565000,58.24
570000,57.36
575000,54.62
580000,54.01
585000,66.29
590000,57.25
595000,56.66
600000,56.47
605000,56.66
610000,49.23
615000,60.49
620000,55.66
625000,61.68
630000,56.25
635000,52.33
640000,56.71
645000,60.18
650000,59.24
655000,55.21
660000,53.83
665000,52.01
670000,48.98
675000,56.57
680000,58.43
685000,57.64
690000,54.91
695000,51.63
700000,56.53
705000,64.25
710000,50.99
715000,50.77
720000,51.21
725000,47.76
730000,62.90
735000,56.94
740000,54.39
745000,61.14
750000,46.64
755000,62.69
760000,57.61
765000,60.54
770000,68.87
775000,67.26
780000,56.79
785000,59.39
790000,55.50
795000,54.42
800000,54.54
805000,58.85
810000,60.64
815000,59.28
820000,63.52
825000,54.86
830000,64.78
835000,54.86
840000,63.03
845000,57.07
850000,56.73
855000,54.08
860000,56.86
865000,58.71
870000,55.85
875000,57.84
880000,61.31
885000,61.33
890000,56.43
895000,63.81
900000,61.23
905000,53.64
910000,56.79
915000,56.78
920000,55.79
925000,60.73
930000,55.54
935000,58.79
940000,54.75
945000,66.11
950000,57.76
955000,60.23
960000,51.37
965000,59.55
970000,65.26
975000,54.53
980000,63.65
985000,56.48
990000,66.08
995000,53.73
1000000,56.73
