step,norm_score
5000,51.80
10000,50.20
15000,42.76
20000,41.59
25000,45.07
30000,40.94
35000,46.50
40000,48.54
45000,46.69
50000,44.27
55000,57.18
60000,46.21
65000,44.03
70000,56.78
75000,50.98
80000,43.28
85000,51.72
90000,45.44
95000,51.71
100000,46.98
105000,48.98
110000,67.24
115000,53.73
120000,48.76
125000,47.82
130000,56.88
135000,51.58
140000,52.31
145000,51.62
150000,61.96
155000,43.28
160000,50.26
165000,48.30
170000,61.22
175000,57.85
180000,53.80
185000,45.16
190000,68.10
195000,57.97
200000,56.02
205000,59.45
210000,59.30
215000,48.83
220000,54.94
225000,54.00
230000,53.47
235000,53.66
240000,40.78
245000,57.92
250000,55.07
255000,55.36
260000,52.46
265000,55.46
270000,50.12
275000,53.98
280000,54.25
285000,62.92
290000,66.94
295000,57.90
300000,52.06
305000,63.82
310000,52.65
315000,59.77
320000,53.28
325000,56.84
330000,56.86
335000,52.53
340000,60.18
345000,64.83
350000,63.34
355000,46.40
360000,60.81
365000,50.17
370000,56.19
375000,56.88
380000,62.49
385000,54.17
390000,56.73
395000,55.20
400000,49.25
405000,58.64
410000,49.64
415000,58.43
420000,53.43
425000,57.08
430000,54.42
435000,52.85
440000,51.36
445000,56.15
450000,45.53
455000,58.12
460000,66.27
465000,50.51
470000,58.06
475000,52.84
480000,57.98
485000,51.91
490000,61.58
495000,62.75
500000,57.68
505000,64.86
510000,53.20
515000,48.29
520000,53.14
525000,54.77
530000,56.76
535000,55.40
540000,55.39
545000,60.27
550000,55.15
555000,62.95
560000,56.10
565000,52.08
570000,57.75
575000,62.43
580000,56.91
585000,56.21
590000,57.75
595000,61.06
600000,56.52
605000,55.42
610000,57.14
615000,52.16
620000,51.54
625000,59.10
630000,57.78
635000,48.15
640000,55.06
645000,61.05
650000,56.60
655000,55.89
660000,47.34
665000,57.51
670000,55.77
675000,56.88
680000,57.24
685000,58.21
690000,57.20
695000,59.61
700000,55.50
705000,53.87
710000,61.58
715000,59.64
720000,53.32
725000,59.62
730000,52.63
735000,48.12
740000,52.53
745000,62.04
750000,55.59
755000,56.41
760000,56.95
765000,52.21
770000,52.09
775000,47.98
780000,60.97
785000,53.07
790000,68.52
795000,57.62
800000,58.07
805000,55.91
810000,52.11
815000,52.55
820000,59.46
825000,51.08
830000,58.68
835000,57.00
840000,64.86
845000,59.23
850000,52.80
855000,59.34
860000,55.88
865000,47.66
870000,50.35
875000,56.32
880000,57.09
885000,63.31
890000,49.87
895000,55.65
900000,58.60
905000,62.42
910000,54.83
915000,61.34
920000,50.92
925000,58.12
930000,57.27
935000,55.69
940000,53.71
945000,56.87
950000,65.00
955000,63.48
960000,56.51
965000,52.99
970000,46.79
975000,57.36
980000,66.93
985000,61.19
990000,61.64
995000,59.70
1000000,61.05
