step,raw_reward,norm_score,norm_std
5000,51.701843794517934,2.211477947008399,0.026462782489383666
10000,65.29455939273144,2.629127773909803,0.031261129566163
15000,42.59169449583073,1.9315594678677979,0.029186438038969083
20000,68.13734491581,2.716475211811587,0.07537793158503363
25000,64.70432692414643,2.6109922890204897,0.06087358416292616
30000,72.83579120861569,2.8608396889991865,0.07243987838362341
35000,557.4991155517191,17.752606683959325,18.581824902417956
40000,61.451148145861545,2.5110351065272014,0.03159008220892764
45000,64.80425639915295,2.6140627224182365,0.06099975941297666
50000,81.26239956808392,3.119755686856185,0.0957792288692349
55000,486.0029250327416,15.555814484592977,28.682708129911468
60000,59.97300433047559,2.465617654497788,0.04685140916150146
65000,60.76161864318645,2.4898486206219483,0.049634925042664486
70000,62.67908710433917,2.5487647632501793,0.05518972982867053
75000,63.034047039090225,2.5596712634439447,0.0504508269264044
80000,53.83884165283799,2.277139350660024,0.04767804689814282
85000,53.45881827236451,2.2654627509455354,0.03853673944568501
90000,55.478496043183746,2.327519377179231,0.05256587421589572
95000,50.382044656030224,2.1709257940738915,0.03976930684274183
100000,50.56671938836299,2.1766001105439563,0.04058901687951658
105000,49.73006377060627,2.1508930271133204,0.038536331528280926
110000,499.043414495452,15.956496609327962,1.5252962640781782
115000,57.102935755730115,2.377431917455284,0.0602248100429219
120000,55.67727119864886,2.333626943299662,0.0613005706435577
125000,606.7361086568133,19.265462705915006,32.49125972836594
130000,63.426434867339296,2.571727773223932,0.037157167253176575
135000,622.7849000383574,19.758577925905303,13.68265186344074
140000,70.9700659636662,2.80351340861257,0.06180889442730416
145000,62.24408581480394,2.5353989121100176,0.056916765440876135
150000,77.10081414509514,2.991886798627912,0.039959523482503014
155000,1823.198830947002,56.642500555752804,34.98323472108286
160000,1761.2488331722784,54.739024707957086,19.07250921651132
165000,698.8646872879891,22.096205734411825,29.2749789301269
170000,421.9353357519443,13.58727351279247,15.991997556195102
175000,80.51171687207584,3.096690207719193,0.027241084418526212
180000,946.8810319675349,29.716756806468773,3.9291525485395655
185000,377.5817179736261,12.224464098167456,13.671259180900503
190000,76.86394240830933,2.984608676816886,0.027288609080574604
195000,82.98416595665454,3.172658686919372,0.040829816164395606
200000,79.31763544998532,3.0600008577773883,0.04478634070116061
205000,88.06135784633497,3.3286605026381486,0.03802120485959098
210000,85.5717600015091,3.2521651105707763,0.03172557861726152
215000,74.21025744500804,2.903071543374669,0.040002204973769544
