step,norm_score
5000,52.44
10000,58.37
15000,46.87
20000,49.93
25000,53.24
30000,50.88
35000,47.24
40000,43.19
45000,47.83
50000,44.15
55000,51.72
60000,47.27
65000,49.72
70000,53.18
75000,53.18
80000,53.03
85000,52.39
90000,50.96
95000,50.36
100000,48.39
105000,48.38
110000,53.82
115000,58.50
120000,62.06
125000,49.37
130000,61.26
135000,49.84
140000,43.76
145000,65.85
150000,42.53
155000,65.67
160000,50.16
165000,53.75
170000,47.26
175000,53.59
180000,47.21
185000,54.32
190000,62.33
195000,45.54
200000,50.80
205000,44.32
210000,58.01
215000,54.52
220000,64.09
225000,54.26
230000,58.54
235000,51.62
240000,56.43
245000,46.02
250000,59.22
255000,55.26
260000,51.67
265000,44.81
270000,49.60
275000,60.14
280000,55.13
285000,55.23
290000,63.95
295000,57.07
300000,69.41
305000,45.44
310000,50.41
315000,42.00
320000,50.59
325000,55.95
330000,46.42
335000,41.25
340000,48.22
345000,45.76
350000,48.90
355000,50.82
360000,59.75
365000,51.55
370000,55.85
375000,47.25
380000,43.25
385000,47.39
390000,42.14
395000,54.47
400000,60.20
405000,51.35
410000,43.76
415000,47.23
420000,43.65
425000,49.21
430000,49.39
435000,52.01
440000,44.94
445000,48.27
450000,49.94
455000,54.42
460000,46.70
465000,54.83
470000,52.52
475000,56.76
480000,45.51
485000,44.77
490000,60.11
495000,46.68
500000,44.00
505000,43.16
510000,46.97
515000,44.93
520000,43.36
525000,47.45
530000,40.57
535000,43.38
540000,41.27
545000,49.14
550000,55.70
555000,53.91
560000,55.76
565000,53.12
570000,50.76
575000,51.63
580000,47.01
585000,57.39
590000,43.72
595000,42.30
600000,44.55
605000,41.42
610000,50.43
615000,50.79
620000,53.35
625000,50.04
630000,56.72
635000,43.34
640000,42.85
645000,48.17
650000,55.48
655000,50.92
660000,47.86
665000,45.95
670000,52.75
675000,53.17
680000,54.09
685000,43.93
690000,48.55
695000,40.49
700000,38.81
705000,53.71
710000,48.53
715000,51.34
720000,47.29
725000,43.21
730000,47.77
735000,48.02
740000,52.44
745000,45.76
750000,44.72
755000,55.36
760000,60.68
765000,49.83
770000,53.27
775000,53.41
780000,54.47
785000,43.20
790000,52.92
795000,51.14
800000,46.46
805000,50.44
810000,44.00
815000,53.17
820000,47.72
825000,48.47
830000,52.04
835000,53.57
840000,57.02
845000,58.39
850000,43.95
855000,47.07
860000,55.33
865000,48.18
870000,55.53
875000,56.11
880000,46.12
885000,43.45
890000,49.46
895000,46.25
900000,47.72
905000,44.54
910000,50.52
915000,54.23
920000,47.07
925000,48.11
930000,47.38
935000,53.80
940000,48.42
945000,42.28
950000,44.32
955000,46.93
960000,40.37
965000,52.88
970000,49.63
975000,53.17
980000,59.58
985000,46.24
990000,59.80
995000,44.64
1000000,52.38
