step,norm_score
5000,50.79
10000,63.39
15000,55.24
20000,44.42
25000,45.67
30000,40.75
35000,49.45
40000,45.39
45000,39.89
50000,42.35
55000,45.31
60000,51.43
65000,45.99
70000,45.72
75000,50.71
80000,52.18
85000,41.74
90000,43.85
95000,52.94
100000,46.66
105000,45.30
110000,46.38
115000,50.65
120000,49.46
125000,58.60
130000,57.23
135000,50.30
140000,56.37
145000,52.04
150000,58.33
155000,46.08
160000,56.14
165000,47.34
170000,58.05
175000,54.57
180000,50.67
185000,43.47
190000,48.90
195000,54.51
200000,42.84
205000,45.88
210000,48.05
215000,47.11
220000,61.94
225000,67.68
230000,52.01
235000,42.18
240000,46.41
245000,51.30
250000,51.97
255000,48.49
260000,61.91
265000,46.17
270000,54.76
275000,54.98
280000,54.70
285000,51.24
290000,47.18
295000,42.50
300000,45.76
305000,41.96
310000,55.08
315000,51.91
320000,54.91
325000,58.60
330000,43.32
335000,59.32
340000,43.36
345000,48.89
350000,57.50
355000,52.21
360000,44.42
365000,50.58
370000,50.13
375000,45.84
380000,50.96
385000,47.11
390000,42.44
395000,40.57
400000,60.64
405000,53.13
410000,56.54
415000,48.44
420000,44.66
425000,66.19
430000,43.12
435000,55.83
440000,44.07
445000,53.17
450000,47.51
455000,48.13
460000,47.55
465000,53.42
470000,48.72
475000,53.07
480000,58.50
485000,55.60
490000,55.55
495000,44.07
500000,44.78
505000,53.06
510000,53.51
515000,46.75
520000,43.46
525000,45.16
530000,50.50
535000,57.30
540000,41.32
545000,43.74
550000,48.01
555000,53.19
560000,49.90
565000,47.01
570000,43.74
575000,44.44
580000,44.81
585000,54.01
590000,49.09
595000,48.89
600000,41.65
605000,57.01
610000,52.92
615000,46.41
620000,46.32
625000,44.95
630000,46.58
635000,49.55
640000,44.22
645000,44.76
650000,54.77
655000,43.04
660000,44.03
665000,41.48
670000,57.04
675000,47.78
680000,45.68
685000,50.83
690000,47.21
695000,42.25
700000,49.28
705000,49.31
710000,54.20
715000,45.61
720000,41.86
725000,68.46
730000,51.04
735000,42.01
740000,42.29
745000,45.10
750000,52.42
755000,48.88
760000,53.75
765000,51.01
770000,48.32
775000,47.31
780000,54.12
785000,52.96
790000,44.75
795000,41.42
800000,46.68
805000,59.54
810000,49.18
815000,42.95
820000,47.47
825000,49.20
830000,42.75
835000,53.59
840000,55.83
845000,45.22
850000,47.70
855000,52.16
860000,42.58
865000,48.13
870000,43.01
875000,46.97
880000,54.39
885000,51.86
890000,52.49
895000,41.66
900000,54.65
905000,48.65
910000,43.26
915000,43.80
920000,54.97
925000,49.00
930000,52.24
935000,43.29
940000,50.14
945000,47.05
950000,43.33
955000,56.09
960000,52.38
965000,56.47
970000,54.13
975000,49.95
980000,40.85
985000,47.15
990000,55.08
995000,46.24
1000000,45.66
