step,norm_score
5000,49.36
10000,67.65
15000,36.91
20000,57.16
25000,61.25
30000,50.30
35000,59.87
40000,51.80
45000,56.03
50000,46.97
55000,52.73
60000,42.74
65000,54.46
70000,46.35
75000,42.80
80000,50.87
85000,37.00
90000,42.82
95000,54.59
100000,54.63
105000,44.80
110000,56.02
115000,54.06
120000,48.48
125000,63.28
130000,44.59
135000,62.67
140000,58.61
145000,51.26
150000,48.94
155000,53.55
160000,54.82
165000,46.84
170000,49.48
175000,52.06
180000,46.29
185000,59.09
190000,52.71
195000,61.29
200000,54.00
205000,47.00
210000,51.42
215000,47.26
220000,50.85
225000,57.52
230000,43.35
235000,47.71
240000,49.04
245000,56.55
250000,52.13
255000,52.56
260000,50.23
265000,46.00
270000,53.24
275000,47.51
280000,51.99
285000,51.77
290000,47.01
295000,55.58
300000,47.97
305000,45.15
310000,45.95
315000,51.12
320000,40.61
325000,49.14
330000,53.04
335000,50.71
340000,54.24
345000,51.50
350000,44.07
355000,51.43
360000,51.79
365000,45.80
370000,50.52
375000,51.13
380000,54.23
385000,55.17
390000,43.30
395000,55.85
400000,52.07
405000,55.13
410000,42.25
415000,51.65
420000,52.70
425000,59.57
430000,49.96
435000,46.14
440000,44.92
445000,51.13
450000,47.78
455000,50.69
460000,46.44
465000,53.34
470000,57.26
475000,52.68
480000,45.95
485000,47.96
490000,42.44
495000,55.01
500000,53.90
505000,51.42
510000,47.02
515000,45.05
520000,52.64
525000,52.53
530000,58.69
535000,43.31
540000,55.42
545000,53.68
550000,46.47
555000,52.72
560000,56.79
565000,42.92
570000,50.01
575000,55.11
580000,52.58
585000,42.19
590000,39.54
595000,49.46
600000,50.67
605000,53.93
610000,48.36
615000,50.64
620000,54.77
625000,45.38
630000,56.52
635000,52.13
640000,50.41
645000,46.71
650000,55.86
655000,42.42
660000,42.16
665000,50.13
670000,51.13
675000,61.37
680000,55.44
685000,53.44
690000,46.52
695000,41.71
700000,57.71
705000,45.28
710000,49.41
715000,47.22
720000,51.64
725000,45.11
730000,49.97
735000,45.17
740000,56.73
745000,51.57
750000,54.57
755000,45.22
760000,51.03
765000,49.08
770000,45.12
775000,59.61
780000,47.64
785000,63.59
790000,45.75
795000,53.48
800000,56.89
805000,47.00
810000,46.01
815000,51.91
820000,48.43
825000,50.56
830000,56.89
835000,44.45
840000,57.18
845000,45.08
850000,49.37
855000,45.23
860000,58.20
865000,44.13
870000,45.27
875000,52.18
880000,54.04
885000,44.96
890000,50.49
895000,41.76
900000,48.86
905000,43.53
910000,58.04
915000,53.83
920000,46.58
925000,46.71
930000,54.88
935000,46.01
940000,44.60
945000,50.06
950000,54.86
955000,51.93
960000,43.34
965000,43.59
970000,44.88
975000,58.89
980000,59.29
985000,43.29
990000,47.56
995000,58.58
1000000,53.35
