step,norm_score
5000,32.18
10000,51.10
15000,52.10
20000,64.02
25000,64.06
30000,54.33
35000,55.60
40000,41.46
45000,50.91
50000,52.26
55000,42.84
60000,55.97
65000,52.77
70000,51.27
75000,53.02
80000,60.46
85000,47.40
90000,54.52
95000,53.93
100000,60.45
105000,58.65
110000,49.69
115000,42.58
120000,54.30
125000,52.57
130000,57.58
135000,42.91
140000,58.53
145000,45.93
150000,53.41
155000,68.33
160000,51.17
165000,46.36
170000,52.67
175000,48.37
180000,52.75
185000,57.52
190000,48.03
195000,45.07
200000,45.88
205000,55.44
210000,45.71
215000,48.06
220000,47.87
225000,50.00
230000,46.22
235000,54.86
240000,61.56
245000,56.47
250000,48.04
255000,45.49
260000,52.60
265000,54.18
270000,56.77
275000,56.15
280000,60.25
285000,51.45
290000,59.71
295000,45.98
300000,64.61
305000,51.66
310000,49.61
315000,60.99
320000,47.16
325000,40.69
330000,55.68
335000,51.63
340000,58.17
345000,51.41
350000,60.08
355000,40.91
360000,52.95
365000,52.94
370000,48.97
375000,50.16
380000,44.14
385000,49.53
390000,52.21
395000,60.86
400000,48.21
405000,53.42
410000,52.41
415000,62.33
420000,44.36
425000,54.81
430000,43.54
435000,43.27
440000,46.61
445000,45.09
450000,54.49
455000,60.13
460000,46.25
465000,45.77
470000,43.21
475000,43.14
480000,46.71
485000,55.48
490000,50.40
495000,44.90
500000,52.59
505000,43.37
510000,60.30
515000,54.83
520000,43.53
525000,50.55
530000,42.93
535000,57.26
540000,43.37
545000,47.97
550000,52.76
555000,46.43
560000,42.58
565000,42.65
570000,55.98
575000,49.23
580000,52.09
585000,41.94
590000,56.54
595000,56.37
600000,51.82
605000,53.62
610000,58.72
615000,50.52
620000,54.90
625000,45.17
630000,55.93
635000,57.99
640000,47.43
645000,46.14
650000,59.83
655000,51.92
660000,43.98
665000,55.93
670000,60.88
675000,42.48
680000,58.25
685000,43.66
690000,44.46
695000,52.62
700000,46.44
705000,46.68
710000,43.40
715000,55.97
720000,59.48
725000,48.97
730000,52.31
735000,45.38
740000,55.00
745000,44.91
750000,55.13
755000,55.26
760000,50.37
765000,40.86
770000,48.01
775000,46.34
780000,41.77
785000,40.58
790000,50.67
795000,49.85
800000,41.61
805000,48.61
810000,44.99
815000,53.77
820000,52.60
825000,39.74
830000,48.80
835000,46.54
840000,51.27
845000,47.71
850000,44.83
855000,55.28
860000,55.85
865000,56.57
870000,47.18
875000,43.51
880000,42.46
885000,46.48
890000,53.00
895000,55.22
900000,48.59
905000,46.87
910000,53.20
915000,42.99
920000,52.20
925000,46.56
930000,43.26
935000,58.48
940000,52.93
945000,40.61
950000,44.72
955000,56.77
960000,44.54
965000,53.24
970000,48.90
975000,42.86
980000,51.70
985000,39.62
990000,58.12
995000,53.76
1000000,41.34
