step,norm_score
5000,65.46
10000,57.713
15000,54.718
20000,52.564
25000,55.817
30000,49.109
35000,56.092
40000,58.759
45000,55.567
50000,50.059
55000,69.564
60000,54.398
65000,64.531
70000,55.546
75000,55.073
80000,57.75
85000,57.782
90000,60.324
95000,50.301
100000,57.939
105000,55.846
110000,51.771
115000,62.903
120000,63.136
125000,57.718
130000,61.608
135000,52.939
140000,53.123
145000,63.477
150000,56.505
155000,65.406
160000,55.749
165000,66.742
170000,66.751
175000,50.621
180000,57.802
185000,61.316
190000,60.461
195000,65.251
200000,59.113
205000,56.811
210000,56.573
215000,66.393
220000,56.372
225000,63.4
230000,56.777
235000,59.099
240000,58.646
245000,63.17
250000,61.68
255000,53.963
260000,64.21
265000,63.05
270000,55.636
275000,60.075
280000,63.444
285000,60.662
290000,71.664
295000,60.357
300000,60.474
305000,57.393
310000,61.565
315000,54.786
320000,54.759
325000,58.523
330000,62.257
335000,62.235
340000,59.883
345000,57.387
350000,61.749
355000,57.156
360000,63.573
365000,55.007
370000,56.171
375000,61.411
380000,70.725
385000,58.139
390000,59.014
395000,61.081
400000,69.765
405000,59.625
410000,58.018
415000,57.504
420000,66.843
425000,57.354
430000,53.57
435000,64.081
440000,64.575
445000,56.897
450000,60.038
455000,58.296
460000,55.242
465000,64.861
470000,65.879
475000,63.165
480000,59.974
485000,66.36
490000,64.222
495000,62.511
500000,57.057
505000,64.908
510000,57.832
515000,66.201
520000,62.973
525000,61.263
530000,57.988
535000,65.558
540000,61.735
545000,54.357
550000,56.417
555000,62.565
560000,61.555
565000,63.773
570000,59.031
575000,59.235
580000,61.53
585000,52.109
590000,60.911
595000,66.4
600000,58.994
605000,55.103
610000,58.131
615000,61.735
620000,57.556
625000,59.701
630000,55.293
635000,63.323
640000,53.01
645000,67.572
650000,63.733
655000,58.343
660000,57.935
665000,62.162
670000,59.132
675000,59.877
680000,67.972
685000,55.265
690000,62.137
695000,63.974
700000,71.078
705000,63.246
710000,51.819
715000,58.253
720000,60.011
725000,63.169
730000,62.292
735000,56.396
740000,60.267
745000,60.297
750000,68.155
755000,56.602
760000,62.945
765000,65.772
770000,60.733
775000,49.218
780000,54.321
785000,56.102
790000,63.444
795000,60.8
800000,67.113
805000,70.211
810000,56.404
815000,68.717
820000,63.705
825000,63.188
830000,63.897
835000,68.446
840000,61.717
845000,59.674
850000,58.606
855000,68.268
860000,64.943
865000,65.062
870000,60.466
875000,57.829
880000,57.798
885000,61.513
890000,61.852
895000,64.875
900000,62.127
905000,56.094
910000,53.311
915000,60.185
920000,66.261
925000,68.031
930000,63.112
935000,56.125
940000,63.514
945000,57.126
950000,58.333
955000,56.272
960000,80.565
965000,60.767
970000,53.48
975000,62.465
980000,56.767
985000,61.494
990000,64.753
995000,61.854
1000000,62.362
