step,norm_score
5000,14.487
10000,17.728
15000,54.759
20000,44.275
25000,55.926
30000,68.591
35000,59.243
40000,46.508
45000,50.309
50000,52.444
55000,57.106
60000,48.138
65000,59.077
70000,53.992
75000,70.483
80000,57.405
85000,57.335
90000,31.745
95000,51.148
100000,46.258
105000,49.819
110000,37.09
115000,36.484
120000,35.437
125000,40.426
130000,40.636
135000,44.36
140000,38.485
145000,40.863
150000,41.29
155000,38.289
160000,39.979
165000,44.899
170000,51.741
175000,47.595
180000,48.646
185000,38.111
190000,51.564
195000,43.251
200000,46.505
205000,42.183
210000,39.914
215000,40.332
220000,38.987
225000,44.601
230000,39.576
235000,41.717
240000,38.911
245000,51.93
250000,38.688
255000,41.677
260000,45.887
265000,48.971
270000,37.746
275000,52.593
280000,36.347
285000,53.111
290000,45.944
295000,49.212
300000,45.316
305000,39.48
310000,48.905
315000,54.1
320000,49.005
325000,48.8
330000,45.911
335000,49.64
340000,40.201
345000,41.265
350000,49.25
355000,46.169
360000,51.638
365000,49.34
370000,45.867
375000,50.72
380000,44.667
385000,48.671
390000,50.179
395000,51.675
400000,59.18
405000,64.342
410000,46.081
415000,58.027
420000,49.535
425000,49.621
430000,62.085
435000,62.551
440000,56.293
445000,58.619
450000,46.086
455000,51.877
460000,46.79
465000,48.739
470000,47.538
475000,47.267
480000,53.135
485000,46.491
490000,51.467
495000,59.725
500000,53.431
505000,52.052
510000,41.559
515000,54.284
520000,50.104
525000,48.535
530000,43.734
535000,44.709
540000,51.022
545000,45.007
550000,46.869
555000,48.087
560000,44.289
565000,53.941
570000,44.426
575000,47.604
580000,47.606
585000,41.903
590000,51.277
595000,50.997
600000,49.602
605000,50.393
610000,47.814
615000,48.907
620000,44.742
625000,49.973
630000,50.273
635000,46.504
640000,45.098
645000,52.402
650000,44.012
655000,50.958
660000,47.12
665000,48.54
670000,54.278
675000,45.52
680000,50.846
685000,41.478
690000,48.882
695000,49.728
700000,43.588
705000,43.567
710000,45.321
715000,41.879
720000,51.533
725000,57.044
730000,45.662
735000,51.743
740000,52.711
745000,50.395
750000,49.565
755000,52.863
760000,47.318
765000,57.736
770000,47.032
775000,53.257
780000,56.019
785000,46.076
790000,47.561
795000,53.333
800000,45.093
805000,45.839
810000,48.95
815000,53.789
820000,52.343
825000,52.903
830000,46.736
835000,55.252
840000,46.58
845000,46.566
850000,45.605
855000,50.938
860000,45.791
865000,49.893
870000,51.737
875000,51.009
880000,46.033
885000,50.76
890000,49.566
895000,47.39
900000,52.165
905000,47.732
910000,49.319
915000,50.23
920000,49.383
925000,53.575
930000,48.893
935000,49.289
940000,49.957
945000,55.815
950000,50.336
955000,50.993
960000,57.379
965000,48.581
970000,53.489
975000,52.938
980000,53.782
985000,50.624
990000,55.658
995000,55.844
1000000,52.679
