step,norm_score
5000,3.078
10000,19.862
15000,44.43
20000,78.153
25000,56.533
30000,48.217
35000,61.846
40000,52.976
45000,38.198
50000,47.284
55000,36.724
60000,54.753
65000,58.94
70000,41.834
75000,61.842
80000,44.63
85000,72.649
90000,39.057
95000,50.769
100000,56.617
105000,77.578
110000,46.453
115000,72.981
120000,59.195
125000,63.75
130000,58.256
135000,59.996
140000,51.297
145000,65.735
150000,62.79
155000,53.582
160000,55.186
165000,57.999
170000,45.837
175000,55.829
180000,46.025
185000,50.274
190000,53.068
195000,52.111
200000,50.294
205000,51.08
210000,40.476
215000,40.877
220000,36.685
225000,49.108
230000,36.222
235000,37.341
240000,42.96
245000,45.664
250000,37.08
255000,44.754
260000,46.032
265000,36.248
270000,47.261
275000,43.372
280000,47.73
285000,40.705
290000,40.71
295000,42.08
300000,43.77
305000,41.197
310000,46.359
315000,38.044
320000,48.8
325000,49.775
330000,37.39
335000,38.101
340000,41.629
345000,35.934
350000,36.843
355000,37.164
360000,39.332
365000,44.474
370000,40.454
375000,40.894
380000,39.644
385000,37.465
390000,37.785
395000,46.745
400000,42.029
405000,44.572
410000,43.131
415000,62.099
420000,43.376
425000,51.479
430000,59.19
435000,45.487
440000,50.791
445000,56.491
450000,43.458
455000,65.432
460000,60.728
465000,42.564
470000,46.956
475000,49.724
480000,63.174
485000,39.137
490000,40.975
495000,44.634
500000,58.019
505000,53.441
510000,47.722
515000,42.643
520000,38.28
525000,45.279
530000,46.982
535000,47.402
540000,46.799
545000,51.397
550000,48.134
555000,47.63
560000,47.899
565000,42.314
570000,36.754
575000,44.046
580000,50.837
585000,48.493
590000,60.89
595000,51.156
600000,57.553
605000,46.321
610000,39.898
615000,57.49
620000,46.875
625000,40.49
630000,50.074
635000,42.526
640000,47.782
645000,53.828
650000,50.707
655000,53.733
660000,51.995
665000,54.451
670000,43.938
675000,45.638
680000,45.667
685000,49.166
690000,42.35
695000,50.386
700000,58.002
705000,59.453
710000,56.829
715000,55.873
720000,58.069
725000,51.684
730000,54.281
735000,59.086
740000,59.595
745000,48.599
750000,53.502
755000,47.403
760000,64.906
765000,49.093
770000,55.246
775000,59.541
780000,56.375
785000,67.61
790000,61.789
795000,55.417
800000,62.662
805000,62.705
810000,66.435
815000,53.787
820000,59.409
825000,58.977
830000,53.02
835000,65.088
840000,66.441
845000,52.218
850000,66.376
855000,68.432
860000,67.122
865000,57.875
870000,57.412
875000,65.725
880000,65.368
885000,48.365
890000,46.835
895000,57.118
900000,48.922
905000,49.821
910000,57.727
915000,59.355
920000,48.876
925000,55.622
930000,46.97
935000,56.213
940000,59.894
945000,49.028
950000,46.596
955000,50.517
960000,54.285
965000,58.792
970000,50.787
975000,54.836
980000,49.244
985000,55.401
990000,54.677
995000,48.918
1000000,52.261
